deviceID	flowData	current	watthourData	localDate	localTime	UTCtime
HyErn3Blm	null	0	0.01	2018-07-03	11:04:37	2018-07-03T21:04:37.000Z
HyErn3Blm	null	0	0.15	2018-07-03	11:19:37	2018-07-03T21:19:37.000Z
HyErn3Blm	null	2.46	147.62	2018-07-03	11:34:37	2018-07-03T21:34:37.000Z
HyErn3Blm	null	0.39	23.43	2018-07-03	11:49:37	2018-07-03T21:49:37.000Z
HyErn3Blm	null	0	0	2018-07-03	12:04:37	2018-07-03T22:04:37.000Z
HyErn3Blm	null	0	0	2018-07-03	12:19:37	2018-07-03T22:19:37.000Z
HyErn3Blm	null	0	0	2018-07-03	12:34:37	2018-07-03T22:34:37.000Z
HyErn3Blm	null	0	0	2018-07-03	12:49:37	2018-07-03T22:49:37.000Z
HyErn3Blm	null	0	0	2018-07-03	13:04:37	2018-07-03T23:04:37.000Z
HyErn3Blm	null	0	0	2018-07-03	13:19:37	2018-07-03T23:19:37.000Z
HyErn3Blm	null	0	0	2018-07-03	13:34:37	2018-07-03T23:34:37.000Z
HyErn3Blm	null	0	0	2018-07-03	13:49:37	2018-07-03T23:49:37.000Z
HyErn3Blm	null	0	0	2018-07-04	14:04:37	2018-07-04T00:04:37.000Z
HyErn3Blm	null	0	0	2018-07-04	14:19:38	2018-07-04T00:19:38.000Z
HyErn3Blm	null	0	0	2018-07-04	14:34:38	2018-07-04T00:34:38.000Z
HyErn3Blm	null	0	0	2018-07-04	14:49:38	2018-07-04T00:49:38.000Z
HyErn3Blm	null	0	0	2018-07-04	15:04:38	2018-07-04T01:04:38.000Z
HyErn3Blm	null	0	0	2018-07-04	15:19:38	2018-07-04T01:19:38.000Z
HyErn3Blm	null	0	0	2018-07-04	15:34:38	2018-07-04T01:34:38.000Z
HyErn3Blm	null	0	0	2018-07-04	15:49:38	2018-07-04T01:49:38.000Z
HyErn3Blm	null	0	0	2018-07-04	16:04:38	2018-07-04T02:04:38.000Z
HyErn3Blm	null	0.89	53.1	2018-07-04	16:19:38	2018-07-04T02:19:38.000Z
HyErn3Blm	null	1.24	73.86	2018-07-04	16:34:38	2018-07-04T02:34:38.000Z
HyErn3Blm	null	0	0	2018-07-04	16:49:38	2018-07-04T02:49:38.000Z
HyErn3Blm	null	0	0	2018-07-04	17:04:38	2018-07-04T03:04:38.000Z
HyErn3Blm	null	0	0	2018-07-04	17:19:38	2018-07-04T03:19:38.000Z
HyErn3Blm	null	0	0	2018-07-04	17:34:38	2018-07-04T03:34:38.000Z
HyErn3Blm	null	0	0	2018-07-04	17:49:38	2018-07-04T03:49:38.000Z
HyErn3Blm	null	0	0	2018-07-04	18:04:39	2018-07-04T04:04:39.000Z
HyErn3Blm	null	0	0	2018-07-04	18:19:39	2018-07-04T04:19:39.000Z
HyErn3Blm	null	0	0	2018-07-04	18:34:39	2018-07-04T04:34:39.000Z
HyErn3Blm	null	0	0	2018-07-04	18:49:39	2018-07-04T04:49:39.000Z
HyErn3Blm	null	2.57	152.91	2018-07-04	19:04:39	2018-07-04T05:04:39.000Z
HyErn3Blm	null	0.77	45.81	2018-07-04	19:19:39	2018-07-04T05:19:39.000Z
HyErn3Blm	null	0	0	2018-07-04	19:34:39	2018-07-04T05:34:39.000Z
HyErn3Blm	null	0	0	2018-07-04	19:49:39	2018-07-04T05:49:39.000Z
HyErn3Blm	null	0	0	2018-07-04	20:04:39	2018-07-04T06:04:39.000Z
HyErn3Blm	null	0	0	2018-07-04	20:19:39	2018-07-04T06:19:39.000Z
HyErn3Blm	null	0	0	2018-07-04	20:34:39	2018-07-04T06:34:39.000Z
HyErn3Blm	null	1.03	61.08	2018-07-04	20:49:39	2018-07-04T06:49:39.000Z
HyErn3Blm	null	1.33	78.96	2018-07-04	21:04:39	2018-07-04T07:04:39.000Z
HyErn3Blm	null	0	0	2018-07-04	21:19:39	2018-07-04T07:19:39.000Z
HyErn3Blm	null	0	0	2018-07-04	21:34:39	2018-07-04T07:34:39.000Z
HyErn3Blm	null	0	0	2018-07-04	21:49:40	2018-07-04T07:49:40.000Z
HyErn3Blm	null	0	0	2018-07-04	22:04:40	2018-07-04T08:04:40.000Z
HyErn3Blm	null	0	0	2018-07-04	22:19:40	2018-07-04T08:19:40.000Z
HyErn3Blm	null	0	0	2018-07-04	22:34:40	2018-07-04T08:34:40.000Z
HyErn3Blm	null	0	0	2018-07-04	22:49:40	2018-07-04T08:49:40.000Z
HyErn3Blm	null	0	0	2018-07-04	23:04:40	2018-07-04T09:04:40.000Z
HyErn3Blm	null	0	0	2018-07-04	23:19:40	2018-07-04T09:19:40.000Z
HyErn3Blm	null	0	0	2018-07-04	23:34:40	2018-07-04T09:34:40.000Z
HyErn3Blm	null	1.19	71.83	2018-07-04	23:49:40	2018-07-04T09:49:40.000Z
HyErn3Blm	null	3.38	202.86	2018-07-04	00:04:40	2018-07-04T10:04:40.000Z
HyErn3Blm	null	0.26	15.36	2018-07-04	00:19:40	2018-07-04T10:19:40.000Z
HyErn3Blm	null	0	0	2018-07-04	00:34:40	2018-07-04T10:34:40.000Z
HyErn3Blm	null	0	0	2018-07-04	00:49:40	2018-07-04T10:49:40.000Z
HyErn3Blm	null	0	0	2018-07-04	01:04:40	2018-07-04T11:04:40.000Z
HyErn3Blm	null	1.29	77.52	2018-07-04	01:19:40	2018-07-04T11:19:40.000Z
HyErn3Blm	null	1.45	87.21	2018-07-04	01:34:41	2018-07-04T11:34:41.000Z
HyErn3Blm	null	0	0.01	2018-07-04	01:49:41	2018-07-04T11:49:41.000Z
HyErn3Blm	null	1.8	108.82	2018-07-04	02:04:41	2018-07-04T12:04:41.000Z
HyErn3Blm	null	1.09	65.16	2018-07-04	02:19:41	2018-07-04T12:19:41.000Z
HyErn3Blm	null	0	0	2018-07-04	02:34:41	2018-07-04T12:34:41.000Z
HyErn3Blm	null	0	0	2018-07-04	02:49:41	2018-07-04T12:49:41.000Z
HyErn3Blm	null	0	0	2018-07-04	03:04:41	2018-07-04T13:04:41.000Z
HyErn3Blm	null	0	0	2018-07-04	03:19:41	2018-07-04T13:19:41.000Z
HyErn3Blm	null	0	0	2018-07-04	03:34:41	2018-07-04T13:34:41.000Z
HyErn3Blm	null	0	0	2018-07-04	03:49:41	2018-07-04T13:49:41.000Z
HyErn3Blm	null	0	0	2018-07-04	04:04:41	2018-07-04T14:04:41.000Z
HyErn3Blm	null	0	0	2018-07-04	04:19:41	2018-07-04T14:19:41.000Z
HyErn3Blm	null	0	0	2018-07-04	04:34:41	2018-07-04T14:34:41.000Z
HyErn3Blm	null	0	0	2018-07-04	04:49:41	2018-07-04T14:49:41.000Z
HyErn3Blm	null	0	0	2018-07-04	05:04:41	2018-07-04T15:04:41.000Z
HyErn3Blm	null	0	0	2018-07-04	05:19:42	2018-07-04T15:19:42.000Z
HyErn3Blm	null	0	0	2018-07-04	05:34:41	2018-07-04T15:34:41.000Z
HyErn3Blm	null	0	0	2018-07-04	05:49:41	2018-07-04T15:49:41.000Z
HyErn3Blm	null	0	0	2018-07-04	06:04:41	2018-07-04T16:04:41.000Z
HyErn3Blm	null	0	0	2018-07-04	06:19:41	2018-07-04T16:19:41.000Z
HyErn3Blm	null	0	0	2018-07-04	06:34:41	2018-07-04T16:34:41.000Z
HyErn3Blm	null	2.26	135.17	2018-07-04	06:49:41	2018-07-04T16:49:41.000Z
HyErn3Blm	null	1.22	73.24	2018-07-04	07:04:41	2018-07-04T17:04:41.000Z
HyErn3Blm	null	0	0	2018-07-04	07:19:41	2018-07-04T17:19:41.000Z
HyErn3Blm	null	0	0	2018-07-04	07:34:41	2018-07-04T17:34:41.000Z
HyErn3Blm	null	1.54	91.62	2018-07-04	07:49:41	2018-07-04T17:49:41.000Z
HyErn3Blm	null	1.25	74.65	2018-07-04	08:04:41	2018-07-04T18:04:41.000Z
HyErn3Blm	null	0	0	2018-07-04	08:19:41	2018-07-04T18:19:41.000Z
HyErn3Blm	null	0	0	2018-07-04	08:34:41	2018-07-04T18:34:41.000Z
HyErn3Blm	null	0	0	2018-07-04	08:49:42	2018-07-04T18:49:42.000Z
HyErn3Blm	null	0	0	2018-07-04	09:04:42	2018-07-04T19:04:42.000Z
HyErn3Blm	null	1.73	103.13	2018-07-04	09:19:42	2018-07-04T19:19:42.000Z
HyErn3Blm	null	0.88	51.73	2018-07-04	09:34:42	2018-07-04T19:34:42.000Z
HyErn3Blm	null	2.89	172.06	2018-07-04	09:49:42	2018-07-04T19:49:42.000Z
HyErn3Blm	null	1.23	73.09	2018-07-04	10:04:42	2018-07-04T20:04:42.000Z
HyErn3Blm	null	0	0	2018-07-04	10:19:42	2018-07-04T20:19:42.000Z
HyErn3Blm	null	0	0	2018-07-04	10:34:42	2018-07-04T20:34:42.000Z
HyErn3Blm	null	0	0	2018-07-04	10:49:42	2018-07-04T20:49:42.000Z
HyErn3Blm	null	0	0	2018-07-04	11:04:42	2018-07-04T21:04:42.000Z
HyErn3Blm	null	0	0	2018-07-04	11:19:42	2018-07-04T21:19:42.000Z
HyErn3Blm	null	1.06	62.5	2018-07-04	11:34:42	2018-07-04T21:34:42.000Z
HyErn3Blm	null	0.88	52.64	2018-07-04	11:49:42	2018-07-04T21:49:42.000Z
HyErn3Blm	null	3.35	199.68	2018-07-04	12:04:42	2018-07-04T22:04:42.000Z
HyErn3Blm	null	1.23	72.98	2018-07-04	12:19:42	2018-07-04T22:19:42.000Z
HyErn3Blm	null	0	0	2018-07-04	12:34:43	2018-07-04T22:34:43.000Z
HyErn3Blm	null	0	0	2018-07-04	12:49:43	2018-07-04T22:49:43.000Z
HyErn3Blm	null	0.2	11.94	2018-07-04	13:04:43	2018-07-04T23:04:43.000Z
HyErn3Blm	null	2.94	175.09	2018-07-04	13:19:43	2018-07-04T23:19:43.000Z
HyErn3Blm	null	0	0	2018-07-04	13:34:43	2018-07-04T23:34:43.000Z
HyErn3Blm	null	0	0	2018-07-04	13:49:43	2018-07-04T23:49:43.000Z
HyErn3Blm	null	0	0	2018-07-05	14:04:43	2018-07-05T00:04:43.000Z
HyErn3Blm	null	0	0	2018-07-05	14:19:43	2018-07-05T00:19:43.000Z
HyErn3Blm	null	1.38	82.87	2018-07-05	14:34:43	2018-07-05T00:34:43.000Z
HyErn3Blm	null	0	0	2018-07-05	14:49:43	2018-07-05T00:49:43.000Z
HyErn3Blm	null	0	0	2018-07-05	15:04:43	2018-07-05T01:04:43.000Z
HyErn3Blm	null	0	0	2018-07-05	15:19:43	2018-07-05T01:19:43.000Z
HyErn3Blm	null	0	0	2018-07-05	15:34:43	2018-07-05T01:34:43.000Z
HyErn3Blm	null	0	0	2018-07-05	15:49:43	2018-07-05T01:49:43.000Z
HyErn3Blm	null	0	0	2018-07-05	16:04:43	2018-07-05T02:04:43.000Z
HyErn3Blm	null	2.14	125.58	2018-07-05	16:19:43	2018-07-05T02:19:43.000Z
HyErn3Blm	null	0.36	21.18	2018-07-05	16:34:44	2018-07-05T02:34:44.000Z
HyErn3Blm	null	0	0	2018-07-05	16:49:44	2018-07-05T02:49:44.000Z
HyErn3Blm	null	0	0	2018-07-05	17:04:44	2018-07-05T03:04:44.000Z
HyErn3Blm	null	0	0	2018-07-05	17:19:44	2018-07-05T03:19:44.000Z
HyErn3Blm	null	0	0	2018-07-05	17:34:44	2018-07-05T03:34:44.000Z
HyErn3Blm	null	0	0	2018-07-05	17:49:44	2018-07-05T03:49:44.000Z
HyErn3Blm	null	2.57	151.96	2018-07-05	18:04:44	2018-07-05T04:04:44.000Z
HyErn3Blm	null	0.22	13.22	2018-07-05	18:19:44	2018-07-05T04:19:44.000Z
HyErn3Blm	null	0	0	2018-07-05	18:34:44	2018-07-05T04:34:44.000Z
HyErn3Blm	null	0	0	2018-07-05	18:49:44	2018-07-05T04:49:44.000Z
HyErn3Blm	null	1.23	73.03	2018-07-05	19:04:44	2018-07-05T05:04:44.000Z
HyErn3Blm	null	0.03	2.07	2018-07-05	19:19:44	2018-07-05T05:19:44.000Z
HyErn3Blm	null	0	0	2018-07-05	19:34:44	2018-07-05T05:34:44.000Z
HyErn3Blm	null	0	0	2018-07-05	19:49:44	2018-07-05T05:49:44.000Z
HyErn3Blm	null	0	0	2018-07-05	20:04:44	2018-07-05T06:04:44.000Z
HyErn3Blm	null	1.13	67.19	2018-07-05	20:19:45	2018-07-05T06:19:45.000Z
HyErn3Blm	null	0	0.02	2018-07-05	20:34:45	2018-07-05T06:34:45.000Z
HyErn3Blm	null	2.6	153.48	2018-07-05	20:49:45	2018-07-05T06:49:45.000Z
HyErn3Blm	null	0	0	2018-07-05	21:04:45	2018-07-05T07:04:45.000Z
HyErn3Blm	null	0	0	2018-07-05	21:19:45	2018-07-05T07:19:45.000Z
